"Category","1.A.5 Other (Not elsewhere specified)"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","4.37","4.37","3.83","4.50","4.34","5.27","7.05","8.08","8.39","6.75","5.36","5.08","4.28","4.16","3.88","4.02","4.23","4.50","11.68","11.67","10.25","10.48","9.22","7.99"
"Austria","0.07","0.07","0.08","0.07","0.08","0.09","0.07","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08"
"Belarus","0.70","0.70","0.62","0.60","0.61","0.65","0.60","0.78","0.65","0.66","0.64","0.79","0.76","0.56","0.58","0.60","0.61","0.63","0.63","0.52","0.57","0.68","0.62","0.41"
"Belgium","1.00","1.00","1.02","1.02","1.01","1.01","0.71","0.65","0.68","0.69","0.70","0.68","0.70","0.70","0.69","0.67","0.65","0.64","0.51","0.46","0.45","0.39","0.36","0.36"
"Bulgaria","17.80","0.09","0.15","0.23","0.30","0.21","0.27","0.30","0.18","0.14","0.19","0.04","0.08","0.06","","0.04","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","50.87","50.87","9.00","9.68","7.00","5.99","6.00","39.70","39.70","57.46","39.68","36.33","38.94","39.27","58.05","59.47","21.27","34.25","34.78","36.34","34.90","35.11","35.47","35.68"
"Denmark","0.65","0.65","1.92","1.11","1.38","1.35","1.77","1.05","1.25","1.44","1.16","0.66","0.80","0.60","0.65","1.41","1.45","0.80","0.92","0.69","1.05","0.96","1.24","0.81"
"Estonia","0.46","0.46","0.57","0.37","0.11","0.12","0.31","0.18","0.15","0.19","0.18","0.18","0.20","0.15","0.20","0.30","0.38","0.35","0.33","0.12","0.31","0.45","0.21","0.24"
